id,time,flow
BC-BB-F3-18100-0101,2019-03-22 03:16:00,2.440963
BC-BB-F3-18100-0101,2019-03-22 03:17:00,2.458561
BC-BB-F3-18100-0101,2019-03-22 03:18:00,2.475401
BC-BB-F3-18100-0101,2019-03-22 03:19:00,2.491807
BC-BB-F3-18100-0101,2019-03-22 03:20:00,2.508003
BC-BB-F3-18100-0101,2019-03-22 03:21:00,2.524133
BC-BB-F3-18100-0101,2019-03-22 03:22:00,2.540377
BC-BB-F3-18100-0101,2019-03-22 03:23:00,2.556726
BC-BB-F3-18100-0101,2019-03-22 03:24:00,2.573079
BC-BB-F3-18100-0101,2019-03-22 03:25:00,2.589373
BC-BB-F3-18100-0101,2019-03-22 03:26:00,2.60559
BC-BB-F3-18100-0101,2019-03-22 03:27:00,2.621759
BC-BB-F3-18100-0101,2019-03-22 03:28:00,2.637879
BC-BB-F3-18100-0101,2019-03-22 03:29:00,2.653936
BC-BB-F3-18100-0101,2019-03-22 03:30:00,2.669925
BC-BB-F3-18100-0101,2019-03-22 03:31:00,2.685933
BC-BB-F3-18100-0101,2019-03-22 03:32:00,2.701908
BC-BB-F3-18100-0101,2019-03-22 03:33:00,2.717776
BC-BB-F3-18100-0101,2019-03-22 03:34:00,2.73354
BC-BB-F3-18100-0101,2019-03-22 03:35:00,2.749226
BC-BB-F3-18100-0101,2019-03-22 03:36:00,2.765486
BC-BB-F3-18100-0101,2019-03-22 03:37:00,2.786166
BC-BB-F3-18100-0101,2019-03-22 03:38:00,2.810955
BC-BB-F3-18100-0101,2019-03-22 03:39:00,2.837978
BC-BB-F3-18100-0101,2019-03-22 03:40:00,2.865857
BC-BB-F3-18100-0101,2019-03-22 03:41:00,2.893677
BC-BB-F3-18100-0101,2019-03-22 03:42:00,2.918417
BC-BB-F3-18100-0101,2019-03-22 03:43:00,2.940139
BC-BB-F3-18100-0101,2019-03-22 03:44:00,2.960349
BC-BB-F3-18100-0101,2019-03-22 03:45:00,2.980075
BC-BB-F3-18100-0101,2019-03-22 03:46:00,2.999086
BC-BB-F3-18100-0101,2019-03-22 03:47:00,3.013539
BC-BB-F3-18100-0101,2019-03-22 03:48:00,3.023361
BC-BB-F3-18100-0101,2019-03-22 03:49:00,3.030739
BC-BB-F3-18100-0101,2019-03-22 03:50:00,3.037205
BC-BB-F3-18100-0101,2019-03-22 03:51:00,3.043522
BC-BB-F3-18100-0101,2019-03-22 03:52:00,3.0519
BC-BB-F3-18100-0101,2019-03-22 03:53:00,3.062319
BC-BB-F3-18100-0101,2019-03-22 03:54:00,3.073603
BC-BB-F3-18100-0101,2019-03-22 03:55:00,3.084979
BC-BB-F3-18100-0101,2019-03-22 03:56:00,3.097034
BC-BB-F3-18100-0101,2019-03-22 03:57:00,3.114342
BC-BB-F3-18100-0101,2019-03-22 03:58:00,3.136105
BC-BB-F3-18100-0101,2019-03-22 03:59:00,3.160399
BC-BB-F3-18100-0101,2019-03-22 04:00:00,3.185436
BC-BB-F3-18100-0101,2019-03-22 04:01:00,3.2104
BC-BB-F3-18100-0101,2019-03-22 04:02:00,3.232326
BC-BB-F3-18100-0101,2019-03-22 04:03:00,3.251417
BC-BB-F3-18100-0101,2019-03-22 04:04:00,3.269165
BC-BB-F3-18100-0101,2019-03-22 04:05:00,3.286515
BC-BB-F3-18100-0101,2019-03-22 04:06:00,3.303887
BC-BB-F3-18100-0101,2019-03-22 04:07:00,3.320498
BC-BB-F3-18100-0101,2019-03-22 04:08:00,3.336495
BC-BB-F3-18100-0101,2019-03-22 04:09:00,3.352268
BC-BB-F3-18100-0101,2019-03-22 04:10:00,3.367953
BC-BB-F3-18100-0101,2019-03-22 04:11:00,3.383608
BC-BB-F3-18100-0101,2019-03-22 04:12:00,3.39945
BC-BB-F3-18100-0101,2019-03-22 04:13:00,3.415482
BC-BB-F3-18100-0101,2019-03-22 04:14:00,3.431566
BC-BB-F3-18100-0101,2019-03-22 04:15:00,3.447619
BC-BB-F3-18100-0101,2019-03-22 04:16:00,3.463476
BC-BB-F3-18100-0101,2019-03-22 04:17:00,3.478375
BC-BB-F3-18100-0101,2019-03-22 04:18:00,3.492406
BC-BB-F3-18100-0101,2019-03-22 04:19:00,3.506042
BC-BB-F3-18100-0101,2019-03-22 04:20:00,3.519523
BC-BB-F3-18100-0101,2019-03-22 04:21:00,3.53363
BC-BB-F3-18100-0101,2019-03-22 04:22:00,3.552689
BC-BB-F3-18100-0101,2019-03-22 04:23:00,3.576234
BC-BB-F3-18100-0101,2019-03-22 04:24:00,3.601786
BC-BB-F3-18100-0101,2019-03-22 04:25:00,3.627984
BC-BB-F3-18100-0101,2019-03-22 04:26:00,3.65399
BC-BB-F3-18100-0101,2019-03-22 04:27:00,3.67658
BC-BB-F3-18100-0101,2019-03-22 04:28:00,3.695951
BC-BB-F3-18100-0101,2019-03-22 04:29:00,3.713995
BC-BB-F3-18100-0101,2019-03-22 04:30:00,3.731715
BC-BB-F3-18100-0101,2019-03-22 04:31:00,3.74932
BC-BB-F3-18100-0101,2019-03-22 04:32:00,3.766696
BC-BB-F3-18100-0101,2019-03-22 04:33:00,3.784179
BC-BB-F3-18100-0101,2019-03-22 04:34:00,3.801429
BC-BB-F3-18100-0101,2019-03-22 04:35:00,3.818642
