id,time,head,total_inflow
BC-BB-F3-18890,2019-03-23 04:37:00,0.078019,
BC-BB-F3-18890,2019-03-23 04:38:00,0.077595,
BC-BB-F3-18890,2019-03-23 04:39:00,0.077174,
BC-BB-F3-18890,2019-03-23 04:40:00,0.076756,
BC-BB-F3-18890,2019-03-23 04:41:00,0.07634,
BC-BB-F3-18890,2019-03-23 04:42:00,0.075927,
BC-BB-F3-18890,2019-03-23 04:43:00,0.075516,
BC-BB-F3-18890,2019-03-23 04:44:00,0.075108,
BC-BB-F3-18890,2019-03-23 04:45:00,0.074701,
BC-BB-F3-18890,2019-03-23 04:46:00,0.074297,
BC-BB-F3-18890,2019-03-23 04:47:00,0.073894,
BC-BB-F3-18890,2019-03-23 04:48:00,0.073492,
BC-BB-F3-18890,2019-03-23 04:49:00,0.073091,
BC-BB-F3-18890,2019-03-23 04:50:00,0.072692,
BC-BB-F3-18890,2019-03-23 04:51:00,0.072294,
BC-BB-F3-18890,2019-03-23 04:52:00,0.071898,
BC-BB-F3-18890,2019-03-23 04:53:00,0.071503,
BC-BB-F3-18890,2019-03-23 04:54:00,0.071111,
BC-BB-F3-18890,2019-03-23 04:55:00,0.07072,
BC-BB-F3-18890,2019-03-23 04:56:00,0.070332,
BC-BB-F3-18890,2019-03-23 04:57:00,0.069945,
BC-BB-F3-18890,2019-03-23 04:58:00,0.069562,
BC-BB-F3-18890,2019-03-23 04:59:00,0.069181,
BC-BB-F3-18890,2019-03-23 05:00:00,0.068802,
BC-BB-F3-18890,2019-03-23 05:01:00,0.068427,
BC-BB-F3-18890,2019-03-23 05:02:00,0.068055,
BC-BB-F3-18890,2019-03-23 05:03:00,0.067686,
BC-BB-F3-18890,2019-03-23 05:04:00,0.06732,
BC-BB-F3-18890,2019-03-23 05:05:00,0.066957,
BC-BB-F3-18890,2019-03-23 05:06:00,0.066597,
BC-BB-F3-18890,2019-03-23 05:07:00,0.066238,
BC-BB-F3-18890,2019-03-23 05:08:00,0.065882,
BC-BB-F3-18890,2019-03-23 05:09:00,0.065527,
BC-BB-F3-18890,2019-03-23 05:10:00,0.065174,
BC-BB-F3-18890,2019-03-23 05:11:00,0.064823,
BC-BB-F3-18890,2019-03-23 05:12:00,0.064473,
BC-BB-F3-18890,2019-03-23 05:13:00,0.064126,
BC-BB-F3-18890,2019-03-23 05:14:00,0.063781,
BC-BB-F3-18890,2019-03-23 05:15:00,0.063439,
BC-BB-F3-18890,2019-03-23 05:16:00,0.0631,
BC-BB-F3-18890,2019-03-23 05:17:00,0.062765,
BC-BB-F3-18890,2019-03-23 05:18:00,0.062433,
BC-BB-F3-18890,2019-03-23 05:19:00,0.062104,
BC-BB-F3-18890,2019-03-23 05:20:00,0.06178,
BC-BB-F3-18890,2019-03-23 05:21:00,0.061459,
BC-BB-F3-18890,2019-03-23 05:22:00,0.061142,
BC-BB-F3-18890,2019-03-23 05:23:00,0.060828,
BC-BB-F3-18890,2019-03-23 05:24:00,0.060518,
BC-BB-F3-18890,2019-03-23 05:25:00,0.06021,
BC-BB-F3-18890,2019-03-23 05:26:00,0.059906,
BC-BB-F3-18890,2019-03-23 05:27:00,0.059605,
BC-BB-F3-18890,2019-03-23 05:28:00,0.059306,
BC-BB-F3-18890,2019-03-23 05:29:00,0.059004,
BC-BB-F3-18890,2019-03-23 05:30:00,0.058704,
BC-BB-F3-18890,2019-03-23 05:31:00,0.058415,
BC-BB-F3-18890,2019-03-23 05:32:00,0.058134,
BC-BB-F3-18890,2019-03-23 05:33:00,0.057858,
BC-BB-F3-18890,2019-03-23 05:34:00,0.057584,
BC-BB-F3-18890,2019-03-23 05:35:00,0.057311,
BC-BB-F3-18890,2019-03-23 05:36:00,0.057039,
BC-BB-F3-18890,2019-03-23 05:37:00,0.056768,
BC-BB-F3-18890,2019-03-23 05:38:00,0.056499,
BC-BB-F3-18890,2019-03-23 05:39:00,0.05623,
BC-BB-F3-18890,2019-03-23 05:40:00,0.055955,
BC-BB-F3-18890,2019-03-23 05:41:00,0.055679,
BC-BB-F3-18890,2019-03-23 05:42:00,0.05541,
BC-BB-F3-18890,2019-03-23 05:43:00,0.055152,
BC-BB-F3-18890,2019-03-23 05:44:00,0.054899,
BC-BB-F3-18890,2019-03-23 05:45:00,0.054649,
BC-BB-F3-18890,2019-03-23 05:46:00,0.0544,
BC-BB-F3-18890,2019-03-23 05:47:00,0.054153,
BC-BB-F3-18890,2019-03-23 05:48:00,0.053906,
BC-BB-F3-18890,2019-03-23 05:49:00,0.053657,
BC-BB-F3-18890,2019-03-23 05:50:00,0.053402,
BC-BB-F3-18890,2019-03-23 05:51:00,0.053149,
BC-BB-F3-18890,2019-03-23 05:52:00,0.052906,
BC-BB-F3-18890,2019-03-23 05:53:00,0.052673,
BC-BB-F3-18890,2019-03-23 05:54:00,0.052445,
BC-BB-F3-18890,2019-03-23 05:55:00,0.052219,
BC-BB-F3-18890,2019-03-23 05:56:00,0.051995,
BC-BB-F3-18890,2019-03-23 05:57:00,0.051771,
BC-BB-F3-18890,2019-03-23 05:58:00,0.051542,
BC-BB-F3-18890,2019-03-23 05:59:00,0.05131,
BC-BB-F3-18890,2019-03-23 06:00:00,0.051081,
BC-BB-F3-18890,2019-03-23 06:01:00,0.050865,
BC-BB-F3-18890,2019-03-23 06:02:00,0.050658,
BC-BB-F3-18890,2019-03-23 06:03:00,0.050455,
BC-BB-F3-18890,2019-03-23 06:04:00,0.050254,
BC-BB-F3-18890,2019-03-23 06:05:00,0.050053,
BC-BB-F3-18890,2019-03-23 06:06:00,0.049847,
BC-BB-F3-18890,2019-03-23 06:07:00,0.049635,
BC-BB-F3-18890,2019-03-23 06:08:00,0.049423,
BC-BB-F3-18890,2019-03-23 06:09:00,0.04922,
BC-BB-F3-18890,2019-03-23 06:10:00,0.049027,
BC-BB-F3-18890,2019-03-23 06:11:00,0.048837,
